"id";"nome";"porQueAprender";"resumoTopicos";"salarioJunior";"salarioPleno";"salarioSenior";"infoMercado"
"projeto-cifra-cesar";"Projeto Cifra de César";"Aprenda a criptografar e descriptografar mensagens com uma das técnicas mais antigas de criptografia, aplicando HTML, CSS e JS.";"Cifra de César | Criptografia básica | Manipulação de strings | Interface web interativa";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Demonstra compreensão de lógica e segurança de dados, diferencial no mercado."
"projeto-conversor-base";"Projeto Conversor de Base";"Crie um conversor entre bases decimal, binária, hexadecimal e octal, exercitando lógica e manipulação de números.";"Conversão entre sistemas numéricos | HTML, CSS e JS | Validação de entrada | Interface responsiva";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Ótimo para treinar raciocínio matemático e desenvolvimento front-end."
"projeto-jogo-velha";"Projeto Jogo da Velha";"Desenvolva um jogo da velha completo, praticando Orientação a Objetos em JavaScript e integração com interface gráfica.";"Lógica do jogo em JS | OOP aplicada | Integração front-end | CSS para design do tabuleiro";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Exercita conceitos centrais de programação e boas práticas de código."
"curadoria-exercicios-web";"Exercícios";"Conjunto de exercícios práticos envolvendo integrações HTML, CSS e JS para reforçar aprendizado na trilha Web.";"Manipulação do DOM | CSS avançado | Exercícios de responsividade | Lógica de programação aplicada";"R$ 2.000 - R$ 3.000";"R$ 4.000 - R$ 6.000";"R$ 7.000 - R$ 10.000";"Quem domina HTML, CSS e JS tem grandes oportunidades como front-end júnior e pleno."
"projeto-ordem-livros";"Projeto Ordem Livros";"Desenvolva uma aplicação que manipula a ordem de livros, reforçando conceitos de front-end e back-end com Node e JS.";"Lógica para ordenação | Node.js e JS no front-end | Estrutura HTML/CSS | Integração entre camadas";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Demonstra capacidade de implementar funcionalidades mais complexas usando JavaScript."
"terminal-windows";"Terminal Windows";"Domine comandos básicos de linha de comando no Windows, fundamental para automatizar tarefas e configurar ambientes.";"Navegação por diretórios | Criação e remoção de arquivos | Utilização de Node.js no terminal | Comandos essenciais";"R$ 2.000 - R$ 3.000";"R$ 4.000 - R$ 6.000";"R$ 7.000 - R$ 10.000";"Saber usar o terminal agiliza o fluxo de trabalho, muito requisitado em times de desenvolvimento."
"terminal-linux";"Terminal Linux";"Aprenda a utilizar o Bash e comandos essenciais do Linux para o dia a dia de desenvolvedor, incluindo manipulação de arquivos e permissões.";"Navegação no sistema de arquivos | Comandos de criação e leitura | Gerenciamento de permissões | Scripts simples";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Sistemas Linux dominam o back-end de grandes empresas, garantindo alta empregabilidade."
"terminal-macos";"Terminal MacOS";"Configure e utilize comandos de terminal no MacOS para desenvolvimento de software, incluindo Node.js e manipulação de arquivos.";"Navegação de diretórios | Manipulação de arquivos no MacOS | Utilização do Node.js | Comandos essenciais de produtividade";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Profissionais que dominam o terminal são mais eficientes e se adaptam rapidamente a qualquer projeto."
"git-e-github-basico";"Git e Github Básico";"Aprenda versionamento de código e colaboração em equipe usando Git e GitHub, habilidades cruciais para qualquer dev.";"Criando repositórios | Commit, push e pull | Resolução de conflitos | Fluxo de trabalho com GitHub";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Controle de versão é padrão no mercado, sendo fundamental para trabalho em equipe e projetos open source."
"git-e-github-branches";"Git e Github Branches";"Aprofunde seus conhecimentos de Git, aprendendo a criar e gerenciar branches, merges e pull requests de forma segura.";"Criação de branches | Merge e rebase | Resolução de conflitos avançada | Fluxos de Git colaborativos";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Entender branching strategies é vital em projetos complexos, muito valorizado em equipes grandes."
"markdown";"Markdown";"Use Markdown para criar documentações, READMEs e anotações claras e organizadas, essencial no GitHub.";"Sintaxe básica Markdown | Formatação de títulos, listas, links | Tabelas e imagens | Boas práticas de escrita";"R$ 2.000 - R$ 3.000";"R$ 4.000 - R$ 6.000";"R$ 7.000 - R$ 10.000";"Documentação de qualidade é diferencial competitivo, agilizando comunicação em projetos."
"readme-perfil";"README de Perfil";"Destaque suas habilidades e experiências em seu perfil GitHub, criando um README profissional e atrativo.";"Estrutura de um README | Apresentação pessoal | Principais projetos | Contatos e links relevantes";"R$ 2.000 - R$ 3.000";"R$ 4.000 - R$ 6.000";"R$ 7.000 - R$ 10.000";"Ter um README de perfil bem feito chama atenção de recrutadores e possíveis parceiros."
"readme-projeto";"README de Projeto";"Aprenda a criar READMEs claros, facilitando a compreensão e a colaboração em projetos open source ou privados.";"Descrição do projeto | Instalação e uso | Tecnologias utilizadas | Licença e contribuições";"R$ 2.000 - R$ 3.000";"R$ 4.000 - R$ 6.000";"R$ 7.000 - R$ 10.000";"Documentação eficiente é um grande diferencial nos processos de seleção e na colaboração."
"iniciando-com-typescript";"Iniciando com TypeScript";"Domine este superset do JavaScript que traz tipagem estática, aumentando confiabilidade e escalabilidade de projetos.";"Sintaxe do TypeScript | Inferência de tipos | Classes e interfaces | Recursos de OOP";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"TypeScript está em alta, adotado por grandes empresas e trazendo robustez ao desenvolvimento web."
"testes-jest-typescript";"Testes em TypeScript com Jest";"Aprenda a escrever testes automatizados e garantir qualidade de código em projetos TypeScript.";"Configuração Jest | Testes de unidade | Cobertura de código | Mocks e testes assíncronos";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Empresas valorizam cultura de testes, melhorando confiabilidade e reduzindo falhas em produção."
"fundamentos-react";"Fundamentos de React";"Entenda a base da biblioteca front-end mais popular do mercado e crie interfaces reativas e componentizadas.";"Estrutura de componentes | JSX | Props e estado | Comunicação entre componentes";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"React domina o ecossistema front-end, garantindo muitas oportunidades de trabalho."
"react-tailwind";"React com Tailwind CSS";"Combine React e Tailwind CSS para criar interfaces modernas e responsivas de forma rápida e padronizada.";"Classes utilitárias do Tailwind | Integração com React | Layouts responsivos | Melhores práticas de design";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Frameworks CSS agilizam o desenvolvimento, especialmente valorizados em aplicações escaláveis."
"react-hooks";"React Hooks";"Domine os Hooks do React, como useState e useEffect, para criar componentes funcionais mais reutilizáveis e claros.";"useState, useEffect | Custom Hooks | Context | Uso prático em projetos";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Aplicações modernas usam Hooks, então este conhecimento é essencial para vagas em React."
"react-gerencia-estado";"Gerenciamento de Estado";"Aprenda diferentes formas de gerenciar estado no React, incluindo Context API, para aplicações escaláveis.";"Context API | Reatividade de dados | Estados compartilhados | Boas práticas de arquitetura front-end";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Demandado em apps complexos, garante código limpo e manutenção mais simples."
"react-navegacao";"Navegação com React.JS";"Implemente rotas com React Router, criando SPAs e MPAs eficientes e facilmente gerenciáveis.";"React Router | Rotas aninhadas | Parametrização de URLs | Redirecionamentos e loaders";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Saber gerenciar rotas é crucial em apps complexos, alta demanda em projetos React."
"next-js";"Next.JS";"Explore o framework que adiciona SSR e geração estática ao React, trazendo desempenho e SEO avançado.";"Conceitos de SSR | Rotas dinâmicas | Geração estática | Integração com APIs";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"Next.js é padrão em muitas empresas, pois otimiza SEO e desempenho, ganhando destaque no mercado."
"gerador-senha-next";"Projeto Gerador de Senha";"Desenvolva um gerador de senhas em Next.JS e Tailwind, explorando segurança e boas práticas de UI/UX.";"Geração de senhas customizadas | Integrando Next e Tailwind | Manipulação de estado | Copiar para área de transferência";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Demonstra domínio de front-end moderno e preocupação com segurança, diferencial no mercado."
"curadoria-exercicios-reactnext";"Exercícios";"Exercícios focados em React e Next.JS para praticar hooks, rotas e conceitos de SSR/SSG.";"Implementar rotas | Uso de hooks avançados | Exercícios de SSR | Integração de APIs";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Excelente prática para fortalecer conhecimentos de frameworks mais usados no mercado."
"react-native-fundamentos";"Fundamentos de React Native";"Crie apps mobile multiplataforma usando React Native, ampliando oportunidades em iOS e Android.";"Setup do projeto | Componentes básicos | Navegação em RN | Integração com APIs e TypeScript";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Mobile é altamente demandado; React Native oferece rapidez e economia de recursos."
"fundamentos-bd-relacional";"Banco Relacional";"Conheça princípios de bancos relacionais, entidades, relacionamentos e junções. Base de qualquer DB SQL.";"Entidades e chaves | Relacionamentos 1:N, N:N | Junções (JOIN) | Conceitos teóricos aplicáveis a qualquer SQL DB";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Bancos relacionais seguem firmes no mercado e são muito exigidos em back-end tradicional."
"fundamentos-sql";"SQL";"Aprenda a linguagem essencial para manipular dados, desde consultas simples até procedimentos avançados em MySQL.";"SELECT, INSERT, UPDATE, DELETE | JOINs | Stored Procedures | Otimização de consultas";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Competência em SQL é fundamental para inúmeras vagas de back-end e análise de dados."
"banco-no-sql-2";"Banco NoSQL";"Entenda diferentes paradigmas NoSQL (documentos, colunas, grafos, chave-valor) e quando usá-los em aplicações modernas.";"Categorias de NoSQL | Casos de uso | Exemplos de bancos | Comparação com SQL";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"NoSQL é ideal para alta escalabilidade e flexibilidade, adotado por grandes players do mercado."
"iniciando-com-mongodb";"Iniciando com MongoDB";"Aprenda o banco NoSQL mais popular do mundo, utilizado por empresas de ponta para escalabilidade e performance.";"Instalação e configuração | Modelo de documentos | CRUD com Mongo | Uso do Atlas em nuvem";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"MongoDB é destaque em aplicações distribuídas e escaláveis, ótima vantagem competitiva."
"api-express";"Api com Express JS";"Crie APIs REST em Node.js com Express, incluindo rotas, middlewares e autenticação via JWT.";"Rotas e controle de requisições | Middleware | Autenticação JWT | Integração com front-end React";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"Express é padrão de mercado para APIs Node.js, abrindo portas para inúmeras oportunidades."
"persistencia-com-knex";"Persistência com Knex.js";"Use query builder para interação com bancos SQL no Node.js, criando migrações e consultas seguras e escaláveis.";"Configuração do Knex | Migrations e seeds | Consultas complexas | Integração com Express";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Ferramentas como Knex facilitam manutenção de projetos que exigem bancos relacionais."
"persistencia-com-mongoose";"Persistência com Mongoose";"Gerencie dados em MongoDB via Mongoose, definindo esquemas, validações e relacionamentos.";"Instalação e setup | Definição de modelos | CRUD avançado | Relacionamentos e validações";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Muito utilizado em apps Node.js, Mongoose traz agilidade e robustez em aplicações NoSQL."
"iniciando-graphql";"Iniciando com GraphQL";"Implemente APIs GraphQL, definindo schemas, queries e mutations, oferecendo flexibilidade superior ao REST.";"Schemas e resolvers | Queries e Mutations | ApolloServer Playground | Integração com front-end";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"GraphQL cresce rapidamente nas grandes empresas, buscando performance e flexibilidade."
"nestjs";"Dominando NestJS";"Use o framework NestJS para criar aplicações escaláveis e de fácil manutenção em Node.js com TypeScript.";"Estrutura de módulos e providers | Injeção de dependências | Pipes e interceptors | Boas práticas de arquitetura";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"NestJS cresce no mercado por oferecer organização e padrão empresarial em Node.js."
"curso-docker";"Dominando Docker";"Empacote e distribua aplicações em containers, criando ambientes isolados e facilitando CI/CD.";"Containers e imagens | Dockerfile | Docker Compose | Boas práticas de containerização";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"Containers são padrão de mercado para escalabilidade; Docker é utilizado globalmente."
"firestore";"Firestore";"Utilize o banco NoSQL do Firebase, com sincronização em tempo real e escalabilidade do Google Cloud.";"Coleções e documentos | Operações CRUD | Regras de segurança | Integração com front-end";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Ideal para protótipos rápidos e startups, com backend sem servidor e alta disponibilidade."
"firebase-auth";"Autenticação com Firebase";"Implemente logins seguros usando o Firebase Authentication, abrangendo email/senha, redes sociais e MFA.";"Configuração de projeto | Email e senha | Google e redes sociais | Autenticação multi-fator";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Facilita implementação de login e protege aplicações, comum em produtos SaaS."
"firebase-functions";"Cloud Functions";"Crie funções serverless disparadas por eventos, HTTP ou agendamentos, escalando sem gerenciar servidores.";"Funções HTTP | Funções triggers | Cloud Scheduler | Deploy e monitoramento";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Serverless é tendência, reduz custos operacionais e simplifica aplicações modernas."
"projeto-bitcent";"Projeto BitCent";"Aprenda Next.JS e conceitos essenciais da Web, desenvolvendo uma aplicação financeira.";"Criação de telas em Next | Rotas e SSR | Integração com APIs | Conceitos básicos de finanças";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"Mercado de fintech em forte crescimento, ideal para quem quer um portfólio diferenciado."
"projeto-kino";"Projeto Kino";"Desenvolva uma aplicação de filmes/cinema, praticando integrações com APIs e manipulação avançada de dados.";"Catálogo de filmes | Rotas e navegação | Consumo de APIs externas | Layout e usabilidade";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Demandado em apps de entretenimento e streaming; valoriza conhecimentos de front-end."
"projeto-graphql-knex-next";"GraphQL Client";"Crie um projeto full stack, com GraphQL no backend (Knex) e Next.js no front-end, unindo as tecnologias mais modernas.";"Setup do backend GraphQL | CRUD usando Knex | Front-end com Next.js | Integração e deploy";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"Combinação poderosa para aplicativos escaláveis e flexíveis, destaque no currículo."
"projeto-barbearia-esp";"Projeto Barbearia";"Desenvolva uma aplicação completa para agendamento em barbearias, unindo front-end, back-end e banco de dados.";"Calendário e agendamentos | Integração React/Next | Persistência com DB | Autenticação e interface UI/UX";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Aplicações de agendamento são muito demandadas em diversos setores de serviços."
"gamer-store-iniciante";"Gamer Store - Iniciante";"Inicie um e-commerce de jogos, integrando front-end, back-end e banco de dados para catálogo e carrinho.";"Catálogo de produtos | Carrinho de compras | APIs e DB | Conceitos básicos de e-commerce";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Comércio eletrônico é um dos setores que mais crescem, demandando devs continuamente."
"gamer-store-mercado";"Gamer Store - Intermediário";"Aprofunde o e-commerce de jogos, adicionando funcionalidades avançadas e integração mobile.";"Sistema de login | Métodos de pagamento | Integrações front, back e mobile | Organização de banco de dados";"R$ 3.500 - R$ 5.000";"R$ 7.000 - R$ 10.000";"R$ 12.000 - R$ 18.000";"E-commerce integrado a mobile é tendência, aumentando a empregabilidade do dev full stack."
"projeto-convit3-digital";"Projeto Convit3 Digital";"Crie uma aplicação de convites digitais, explorando Next, React e integrações com banco de dados.";"Geração de convites online | Personalização de layout | Banco de dados para persistência | Deploy e compartilhamento";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Serviços de convites online crescendo em eventos corporativos e pessoais, nicho promissor."
"aula-inaugural-julho-2024";"Aula Inaugural - Turma Julho de 2024";"Saiba tudo sobre a Formação.DEV, planos de estudo e apresentação da equipe. Perfeito para ambientar novos alunos.";"Visão geral do programa | Uso da plataforma | Metodologia de ensino | Dicas de organização";"N/A";"N/A";"N/A";"Live de boas-vindas, sem faixa salarial específica, mas essencial para começar a jornada."
"aula-inaugural-outubro-2024";"Aula Inaugural - Outubro 2024";"Apresentação dos cursos, trilhas e orientações para o novo grupo de alunos iniciantes em outubro de 2024.";"Estrutura da Formação | Plano de estudos | Ferramentas de suporte | Networking inicial";"N/A";"N/A";"N/A";"Evento de integração inicial, sem dados de mercado pois não é um curso técnico."
"aula-inaugural-novembro-2024";"Aula Inaugural";"Bem-vindos à turma de novembro de 2024, overview das trilhas e funcionalidades da plataforma.";"Dinâmica da Formação | Boas práticas de estudos | Metas e prazos | Suporte e comunidade";"N/A";"N/A";"N/A";"Live institucional focada em orientação, sem conteúdo técnico específico."
"aula-inaugural-turma-3";"Aula Inaugural";"Introdução à Formação.DEV, estrutura das trilhas, suporte e dicas para melhor aproveitamento do curso.";"Plataforma e recursos | Calendário e trilhas | Interação com tutores | Ferramentas utilizadas";"N/A";"N/A";"N/A";"Momento de onboarding, sem conteúdo de mercado pois não é curso técnico."
"boas-vindas-2023-maio";"Boas Vindas";"Recepção oficial, apresentação da equipe e overview da Formação.DEV para a turma de maio/2023.";"Organização das trilhas | Metodologia de ensino | Recursos disponíveis | Comunidade de suporte";"N/A";"N/A";"N/A";"Live inicial de integração, não inclui conteúdo técnico ou salarial."
"boas-vindas-turma-2";"Aula Inaugural";"Mais uma recepção a nova turma, com reforço de objetivos e estratégia de aprendizagem ao longo do curso.";"Visão geral dos conteúdos | Cronograma de aulas | Ferramentas de acompanhamento | Foco em resultados";"N/A";"N/A";"N/A";"Sessão de introdução, não aplicável a mercado."
"aula-Inaugural-turma-4";"Aula Inaugural Turma 04";"Boas-vindas, explicando como aproveitar trilhas, mentorias e suporte para o melhor aprendizado possível.";"Interface do aluno | Atividades e projetos | Mentorias ao vivo | Comunidade ativa";"N/A";"N/A";"N/A";"Live de recepção, sem dados mercadológicos."
"estudos-e-produtividade";"Estudos e Produtividade";"Dicas de organização, foco e técnicas para maximizar aprendizado dentro da Formação.DEV.";"Gerenciamento de tempo | Técnicas de estudo | Soft skills de produtividade | Metas realistas";"N/A";"N/A";"N/A";"Conteúdo de aprimoramento pessoal, não envolve vagas ou salários."
"mover";"curso mover";"Mentoria ou live que aborda algum conteúdo de apoio à formação. Tópicos adicionais de estudo e prática.";"Dicas de prática | Conteúdo extra | Esclarecimento de dúvidas | Revisão de conceitos";"N/A";"N/A";"N/A";"Live de suporte geral, sem faixa salarial específica."
"novidades-2024";"Novidades 2024";"Live sobre as atualizações de conteúdo, novas funcionalidades na plataforma, futuro da Formação.DEV.";"Atualização de trilhas | Novos cursos | Ferramentas de suporte | Planejamento anual";"N/A";"N/A";"N/A";"Live informativa, sem conteúdo de mercado."
"tranformando-idieas-em-aplicacoes";"Transformando Ideias em Aplicações";"Aprenda estratégias para tirar projetos do papel, do conceito à implementação prática.";"Validação de ideias | Roadmap de MVP | Principais tecnologias | Organização do projeto";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 8.000";"R$ 9.000 - R$ 13.000";"Mercado valoriza devs que entendem todo ciclo, da ideação ao deploy, especialmente em startups."
"mentoria-iniciantes-+-primeiro-projeto";"Mentoria Iniciantes + Primeiro Projeto";"Orientação para quem está começando, cobrindo dúvidas iniciais e suporte para o primeiro projeto prático.";"Esclarecimento de dúvidas | Primeiros passos do projeto | Ferramentas básicas | Boas práticas iniciais";"N/A";"N/A";"N/A";"Live focada em iniciantes, sem conteúdo mercadológico direto."
"projeto-em-equipes";"Projeto em Equipes";"Aprenda a trabalhar em equipe, desde planejamento até versionamento colaborativo. Essencial para grandes projetos.";"Division of tasks | Git flow em grupo | Integração contínua | Comunicação efetiva";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Mercado valoriza soft skill de colaboração e experiência com equipes grandes."
"carreira-internacional";"Carreira Internacional";"Conheça dicas e estratégias para buscar vagas no exterior, networking global e aprimoramento de idioma.";"Preparação de portfolio | Contato com empresas fora | Vistos e relocation | Diferenças culturais";"R$ 4.000 - R$ 6.000";"R$ 8.000 - R$ 12.000";"R$ 15.000 - R$ 25.000";"Grandes chances de salários mais altos e oportunidades em empresas internacionais."
"projeto-em-equipes-11-24";"Projeto em Equipes - Novembro 2024";"Mentoria para prática de projeto colaborativo, realizado em equipe, com ênfase em metas e resultados.";"Formação de squads | Planejamento ágil | Demos e retrospectivas | Ferramentas de integração";"N/A";"N/A";"N/A";"Live/módulo prático de colaboração, sem dados de mercado por não ser um curso individual."
"poo";"Programação Orientada a Objetos";"Entenda o paradigma OOP, essenciais para modelar aplicações robustas e escaláveis.";"Classes e objetos | Encapsulamento e Herança | Polimorfismo | Relação com Arquitetura";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"OOP ainda é usado amplamente em grandes projetos, essencial para vários frameworks e linguagens."
"mentoria-visao-feral-app-fullstack";"Visão Geral de uma Aplicação Full Stack";"Entenda como front-end, back-end e banco de dados se integram num projeto completo.";"Fluxo de dados | Arquitetura multicamadas | APIs e DB | Boas práticas de integração";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Full stack devs são muito requisitados, tendo visão global do sistema."
"introducao-aos-paradigmas-de-programacao";"Introdução aos Paradigmas de Programação";"Conheça paradigmas como imperativo, funcional e orientado a objetos, expandindo sua forma de pensar código.";"Conceitos de paradigmas | Exemplos em diversas linguagens | Quando usar cada abordagem | Evolução histórica";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Dominando paradigmas, o dev se adapta melhor a qualquer linguagem e framework."
"nextjs";"Live Next.js";"Série de lives aprofundando fundamentos do Next.js, do SSR à comunicação entre componentes.";"Configuração de projeto | Rotas dinâmicas | Hooks no Next.js | Integração com APIs";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Next.js é referência no mercado para apps React rápidos e otimizados."
